image_name,label_a,label_b
sektion_0_0.png,20,41
sektion_0_1.png,59,62
sektion_0_2.png,61,63
sektion_0_3.png,63,64
sektion_0_4.png,65,62
sektion_0_5.png,65,60
sektion_0_6.png,66,60
sektion_0_7.png,68,60
sektion_0_8.png,67,57
sektion_0_9.png,63,55
sektion_0_10.png,61,57
sektion_0_11.png,62,56
sektion_0_12.png,63,52
sektion_0_13.png,60,47
sektion_0_14.png,61,47
sektion_0_15.png,60,46
sektion_0_16.png,60,45
sektion_0_17.png,59,45
sektion_0_18.png,58,45
sektion_0_19.png,57,46
sektion_0_20.png,56,47
sektion_0_21.png,56,47
sektion_0_22.png,55,47
sektion_0_23.png,56,48
sektion_0_24.png,56,49
sektion_0_25.png,55,50
sektion_0_26.png,56,51
sektion_0_27.png,59,53
sektion_0_28.png,59,56
sektion_0_29.png,54,58
sektion_0_30.png,44,60
sektion_0_31.png,23,63
sektion_0_32.png,2,67
sektion_0_33.png,-1,69
sektion_0_34.png,-6,74
sektion_0_35.png,-8,78
sektion_0_36.png,-9,80
sektion_0_37.png,-12,82
sektion_0_38.png,-14,83
sektion_0_39.png,-15,86
sektion_0_40.png,-15,86
sektion_0_41.png,-15,80
sektion_0_42.png,-15,80
sektion_0_43.png,-14,81
sektion_0_44.png,-15,84
sektion_0_45.png,-16,87
sektion_0_46.png,-17,89
sektion_0_47.png,-17,89
sektion_0_48.png,-16,89
sektion_0_49.png,-15,88
sektion_0_50.png,-15,87
sektion_0_51.png,-15,87
sektion_0_52.png,-16,88
sektion_0_53.png,-17,88
sektion_0_54.png,-16,88
sektion_0_55.png,-15,88
sektion_0_56.png,-14,88
sektion_0_57.png,-14,87
sektion_0_58.png,-13,87
sektion_0_59.png,-13,88
sektion_0_60.png,-12,88
sektion_0_61.png,-12,87
sektion_0_62.png,-11,87
sektion_0_63.png,-8,86
sektion_0_64.png,-3,84
sektion_0_65.png,0,82
sektion_0_66.png,-2,82
sektion_0_67.png,-9,84
sektion_0_68.png,-14,87
sektion_0_69.png,-12,86
sektion_0_70.png,-12,87
sektion_0_71.png,-12,88
sektion_0_72.png,-13,88
sektion_0_73.png,-14,87
sektion_0_74.png,-15,87
sektion_0_75.png,-16,87
sektion_0_76.png,-14,87
sektion_0_77.png,-12,86
sektion_0_78.png,-3,83
sektion_0_79.png,12,76
sektion_0_80.png,29,67
sektion_0_81.png,33,66
sektion_0_82.png,20,71
sektion_0_83.png,5,76
sektion_0_84.png,-4,79
sektion_0_85.png,-5,79
sektion_0_86.png,-4,79
sektion_0_87.png,-4,78
sektion_0_88.png,-1,75
sektion_0_89.png,13,71
sektion_0_90.png,26,64
sektion_0_91.png,38,49
sektion_0_92.png,43,37
sektion_0_93.png,37,39
