filename,label_a,label_b
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,126,127
0.jpg,126,127
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,128,126
0.jpg,128,126
0.jpg,126,126
0.jpg,126,126
0.jpg,128,126
0.jpg,126,127
0.jpg,126,126
0.jpg,126,126
0.jpg,125,126
0.jpg,125,126
0.jpg,127,125
0.jpg,128,125
0.jpg,127,124
0.jpg,124,127
0.jpg,125,127
0.jpg,125,127
0.jpg,125,127
0.jpg,125,127
0.jpg,125,127
0.jpg,124,127
0.jpg,124,127
0.jpg,126,124
0.jpg,124,124
0.jpg,125,123
0.jpg,124,124
0.jpg,124,124
0.jpg,124,124
0.jpg,123,125
0.jpg,123,125
0.jpg,124,124
0.jpg,124,124
0.jpg,125,124
0.jpg,126,124
0.jpg,126,124
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,128,127
0.jpg,128,127
0.jpg,126,127
0.jpg,126,128
0.jpg,128,127
0.jpg,128,126
0.jpg,128,126
0.jpg,126,126
0.jpg,126,126
0.jpg,128,126
0.jpg,126,127
0.jpg,126,127
0.jpg,126,127
0.jpg,125,126
0.jpg,126,125
0.jpg,126,125
0.jpg,127,127
0.jpg,128,127
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,127
0.jpg,125,127
0.jpg,126,125
0.jpg,127,123
0.jpg,127,123
0.jpg,125,123
0.jpg,124,124
0.jpg,124,124
0.jpg,124,124
0.jpg,124,124
0.jpg,125,124
0.jpg,127,124
0.jpg,126,124
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,128,127
0.jpg,128,127
0.jpg,126,127
0.jpg,126,128
0.jpg,126,127
0.jpg,128,126
0.jpg,128,126
0.jpg,126,126
0.jpg,126,126
0.jpg,128,126
0.jpg,126,127
0.jpg,126,127
0.jpg,126,127
0.jpg,125,126
0.jpg,130,125
0.jpg,128,126
0.jpg,128,127
0.jpg,130,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,130,128
0.jpg,127,127
0.jpg,127,128
0.jpg,127,127
0.jpg,127,127
0.jpg,125,127
0.jpg,125,124
0.jpg,124,124
0.jpg,125,124
0.jpg,125,124
0.jpg,124,124
0.jpg,127,124
0.jpg,126,124
0.jpg,126,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,127
0.jpg,126,127
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,128,126
0.jpg,128,126
0.jpg,128,126
0.jpg,126,126
0.jpg,126,127
0.jpg,126,127
0.jpg,126,126
0.jpg,126,126
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,128,128
0.jpg,128,128
0.jpg,126,128
0.jpg,124,125
0.jpg,122,127
0.jpg,124,125
0.jpg,127,121
0.jpg,127,121
0.jpg,125,124
0.jpg,125,124
0.jpg,126,128
0.jpg,126,128
0.jpg,126,128
0.jpg,128,128
0.jpg,128,127
0.jpg,126,127
0.jpg,128,127
0.jpg,126,128
0.jpg,126,128
0.jpg,128,126
0.jpg,128,126
0.jpg,128,126
0.jpg,126,126
0.jpg,126,127
0.jpg,126,127
0.jpg,127,126
0.jpg,128,127
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,126,128
0.jpg,124,127
0.jpg,123,125
0.jpg,126,121
0.jpg,126,121
0.jpg,125,124
0.jpg,127,124
0.jpg,128,128
0.jpg,126,128
0.jpg,128,128
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,126,127
0.jpg,126,128
0.jpg,128,127
0.jpg,128,126
0.jpg,128,126
0.jpg,128,126
0.jpg,126,126
0.jpg,130,125
0.jpg,126,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,126,129
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,126,128
0.jpg,127,127
0.jpg,127,127
0.jpg,124,123
0.jpg,124,124
0.jpg,127,124
0.jpg,126,128
0.jpg,126,128
0.jpg,128,128
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,128,127
0.jpg,126,128
0.jpg,128,127
0.jpg,128,126
0.jpg,128,126
0.jpg,128,126
0.jpg,126,126
0.jpg,130,125
0.jpg,128,127
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,128,128
0.jpg,127,129
0.jpg,128,129
0.jpg,126,130
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,128,128
0.jpg,129,127
0.jpg,129,127
0.jpg,125,127
0.jpg,124,124
0.jpg,127,124
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,126,128
0.jpg,126,128
0.jpg,128,127
0.jpg,128,127
0.jpg,126,127
0.jpg,126,128
0.jpg,128,127
0.jpg,128,127
0.jpg,128,126
0.jpg,128,126
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,128,128
0.jpg,128,128
0.jpg,126,129
0.jpg,128,129
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,128,128
0.jpg,128,128
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,127,129
0.jpg,128,128
0.jpg,128,128
0.jpg,128,128
0.jpg,127,126
